Sample	PBP1A	PBP2B	PBP2X	WGS_PEN_SIGN	WGS_PEN	WGS_PEN_SIR_Meningitis	WGS_PEN_SIR_Nonmeningitis	WGS_AMO_SIGN	WGS_AMO	WGS_AMO_SIR	WGS_MER_SIGN	WGS_MER	WGS_MER_SIR	WGS_TAX_SIGN	WGS_TAX	WGS_TAX_SIR_Meningitis	WGS_TAX_SIR_Nonmeningitis	WGS_CFT_SIGN	WGS_CFT	WGS_CFT_SIR_Meningitis	WGS_CFT_SIR_Nonmeningitis	WGS_CFX_SIGN	WGS_CFX	WGS_CFX_SIR	WGS_AMP_SIGN	WGS_AMP	WGS_AMP_SIR	WGS_CPT_SIGN	WGS_CPT	WGS_CPT_SIR	WGS_ZOX_SIGN	WGS_ZOX	WGS_ZOX_SIR	WGS_FOX_SIGN	WGS_FOX	WGS_FOX_SIR	EC	WGS_ERY_SIGN	WGS_ERY	WGS_ERY_SIR	WGS_CLI_SIGN	WGS_CLI	WGS_CLI_SIR	WGS_SYN_SIGN	WGS_SYN	WGS_SYN_SIR	WGS_LZO_SIGN	WGS_LZO	WGS_LZO_SIR	WGS_ERY/CLI	Cot	WGS_COT_SIGN	WGS_COT	WGS_COT_SIR	Tet	WGS_TET_SIGN	WGS_TET	WGS_TET_SIR	WGS_DOX_SIGN	WGS_DOX	WGS_DOX_SIR	FQ	WGS_CIP_SIGN	WGS_CIP	WGS_CIP_SIR	WGS_LFX_SIGN	WGS_LFX	WGS_LFX_SIR	Other	WGS_CHL_SIGN	WGS_CHL	WGS_CHL_SIR	WGS_RIF_SIGN	WGS_RIF	WGS_RIF_SIR	WGS_VAN_SIGN	WGS_VAN	WGS_VAN_SIR	WGS_DAP_SIGN	WGS_DAP	WGS_DAP_SIR
6823_4#12	13	NEW	NEW	=	2	R	S	=	2	S	=	0.25	S	=	1	I	S	=	1	I	S	>	2	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MEF	=	8	R	=	0.06	S	<=	1	S	<=	2	S	neg	FOLA-Q1H-I20L:FOLP_186-ins	>=	4	R	TETM	>	8	R	>=	1	R	neg	NA	NA	NA	<=	2	S	msr(D):MsrD_MLS	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_4#13	0	0	494	=	0.06	S	S	<=	0.03	S	<=	0.06	S	<=	0.06	S	S	<=	0.5	S	S	<=	0.5	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	neg	=	0.06	S	=	0.06	S	<=	1	S	<=	2	S	neg	FOLP_178-ins	=	2	I	TETM	>	8	R	>=	1	R	neg	NA	NA	NA	<=	2	S	CAT	>=	8	R	<=	1	S	=	0.5	S	NA	NA	NA
6823_4#14	37	12	29	=	0.12	R	S	=	0.12	S	<=	0.06	S	<=	0.06	S	S	<=	0.5	S	S	<=	0.5	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	neg	=	0.06	S	=	0.06	S	<=	1	S	<=	2	S	neg	FOLA-Q1Y-I20L:FOLP_178-ins	>=	4	R	TETM	>	8	R	>=	1	R	neg	NA	NA	NA	<=	2	S	neg	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_4#15	2	53	77	=	0.12	R	S	=	0.12	S	<=	0.06	S	<=	0.06	S	S	<=	0.5	S	S	<=	0.5	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ERMB	>	32	R	>	2	R	<=	1	S	<=	2	S	pos	FOLA-I20L:FOLP_189-ins	>=	4	R	TETM	>	8	R	>=	1	R	neg	NA	NA	NA	<=	2	S	neg	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_4#16	0	16	NEW	=	0.12	R	S	=	0.12	S	<=	0.06	S	<=	0.06	S	S	<=	0.5	S	S	<=	0.5	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MEF	=	8	R	=	0.06	S	<=	1	S	<=	2	S	neg	FOLA-Q1Y-I20L:FOLP_169-ins	>=	4	R	TETM	>	8	R	>=	1	R	neg	NA	NA	NA	<=	2	S	msr(D):MsrD_MLS	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_4#17	NEW	18	257	=	2	R	S	=	0.5	S	=	0.25	S	=	1	I	S	=	1	I	S	>	2	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R23S1-A29G:R23S2-C25T	<=	0.25	S	<=	0.25	S	<=	1	S	<=	2	S	neg	FOLA-Q1Y-V3I-D12G-E14D-I20L:FOLP_178-ins	>=	4	R	TETM	>	8	R	>=	1	R	neg	NA	NA	NA	<=	2	S	fusA:VanZ-F:VanZF-Pp_Gly	Flag	Flag	Flag	Flag	Flag	Flag	Flag	Flag	Flag	NA	NA	NA
6823_4#18	0	238	383	=	0.12	R	S	=	0.06	S	<=	0.06	S	<=	0.06	S	S	<=	0.5	S	S	<=	0.5	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R23S1-A29G	<=	0.25	S	<=	0.25	S	<=	1	S	<=	2	S	neg	FOLA-E14D-I20L:FOLP_178-ins	>=	4	R	neg	<=	0.25	S	<=	0.25	S	neg	NA	NA	NA	<=	2	S	neg	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_4#19	2	0	0	<=	0.03	S	S	<=	0.03	S	<=	0.06	S	<=	0.06	S	S	<=	0.5	S	S	<=	0.5	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R23S1-A29G:R23S2-C25T	<=	0.25	S	<=	0.25	S	<=	1	S	<=	2	S	neg	FOLA-Q1Y-I20L:FOLP_195-ins	>=	4	R	neg	<=	0.25	S	<=	0.25	S	neg	NA	NA	NA	<=	2	S	neg	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_4#20	17	16	NEW	=	0.25	R	S	=	0.25	S	=	0.12	S	=	0.12	S	S	<=	0.5	S	S	<=	0.5	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R23S1-A29G:R23S2-C25T	<=	0.25	S	<=	0.25	S	<=	1	S	<=	2	S	neg	FOLA-E14D-I20L:FOLP_169-ins	>=	4	R	neg	<=	0.25	S	<=	0.25	S	neg	NA	NA	NA	<=	2	S	VanZ-F:VanZF-Pp_Gly	Flag	Flag	Flag	Flag	Flag	Flag	Flag	Flag	Flag	NA	NA	NA
6823_4#21	NEW	1	369	=	0.25	R	S	=	0.06	S	<=	0.06	S	<=	0.06	S	S	<=	0.5	S	S	<=	0.5	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	neg	=	0.06	S	=	0.06	S	<=	1	S	<=	2	S	neg	FOLP_169-ins	=	2	I	neg	<=	0.25	S	<=	0.25	S	neg	NA	NA	NA	<=	2	S	neg	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_4#22	17	15	22	=	0.5	R	S	=	0.12	S	=	0.12	S	=	0.12	S	S	<=	0.5	S	S	<=	0.5	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	neg	=	0.06	S	=	0.06	S	<=	1	S	<=	2	S	neg	FOLP_180-ins	=	2	I	TETM	>	8	R	>=	1	R	neg	NA	NA	NA	<=	2	S	neg	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_4#23	2	0	21	=	0.06	S	S	<=	0.03	S	<=	0.06	S	<=	0.06	S	S	<=	0.5	S	S	<=	0.5	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	neg	=	0.06	S	=	0.06	S	<=	1	S	<=	2	S	neg	FOLP_178-ins	=	2	I	neg	<=	0.25	S	<=	0.25	S	neg	NA	NA	NA	<=	2	S	neg	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_4#24	37	4	2	<=	0.03	S	S	<=	0.03	S	<=	0.06	S	<=	0.06	S	S	<=	0.5	S	S	<=	0.5	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	neg	=	0.06	S	=	0.06	S	<=	1	S	<=	2	S	neg	FOLP_178-ins	=	2	I	TETM	>	8	R	>=	1	R	neg	NA	NA	NA	<=	2	S	neg	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_5#1	2	0	NEW	=	0.06	S	S	<=	0.03	S	<=	0.06	S	<=	0.06	S	S	<=	0.5	S	S	<=	0.5	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	neg	=	0.06	S	=	0.06	S	<=	1	S	<=	2	S	neg	FOLP_169-ins	=	2	I	neg	<=	0.25	S	<=	0.25	S	neg	NA	NA	NA	<=	2	S	neg	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_5#2	2	6	2	<=	0.03	S	S	<=	0.03	S	<=	0.06	S	<=	0.06	S	S	<=	0.5	S	S	<=	0.5	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	neg	=	0.06	S	=	0.06	S	<=	1	S	<=	2	S	neg	FOLP_178-ins	=	2	I	TETM	>	8	R	>=	1	R	neg	NA	NA	NA	<=	2	S	CAT	>=	8	R	<=	1	S	=	0.5	S	NA	NA	NA
6823_5#3	34	7	NEW	=	2	R	S	=	1	S	=	0.5	I	=	0.5	S	S	<=	0.5	S	S	>	2	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	neg	=	0.06	S	=	0.06	S	<=	1	S	<=	2	S	neg	FOLP_169-ins	=	2	I	neg	<=	0.25	S	<=	0.25	S	neg	NA	NA	NA	<=	2	S	neg	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_5#4	13	NEW	47	=	2	R	S	=	2	S	=	0.5	I	=	1	I	S	=	1	I	S	>	2	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MEF	=	8	R	=	0.06	S	<=	1	S	<=	2	S	neg	FOLA-Q1H-I20L:FOLP_186-ins	>=	4	R	TETM	>	8	R	>=	1	R	neg	NA	NA	NA	<=	2	S	msr(D):MsrD_MLS	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_5#5	17	121	NEW	=	0.5	R	S	=	0.25	S	=	0.12	S	=	0.25	S	S	<=	0.5	S	S	<=	0.5	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ERMB	>	32	R	>	2	R	<=	1	S	<=	2	S	pos	FOLA-Q1Y-I20L:FOLP_178-ins	>=	4	R	TETM	>	8	R	>=	1	R	neg	NA	NA	NA	<=	2	S	neg	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_5#6	13	NEW	47	=	2	R	S	=	2	S	=	0.5	I	=	1	I	S	=	1	I	S	>	2	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MEF	=	8	R	=	0.06	S	<=	1	S	<=	2	S	neg	FOLA-Q1H-I20L:FOLP_186-ins	>=	4	R	TETM	>	8	R	>=	1	R	neg	NA	NA	NA	<=	2	S	msr(D):MsrD_MLS	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_5#7	0	18	NEW	=	0.25	R	S	=	0.12	S	<=	0.06	S	=	0.12	S	S	<=	0.5	S	S	<=	0.5	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	neg	=	0.06	S	=	0.06	S	<=	1	S	<=	2	S	neg	FOLP_169-ins	=	2	I	TETM	>	8	R	>=	1	R	neg	NA	NA	NA	<=	2	S	neg	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_5#8	13	31	73	=	2	R	S	=	1	S	=	0.25	S	=	1	I	S	=	1	I	S	>	2	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MEF	=	8	R	=	0.06	S	<=	1	S	<=	2	S	neg	FOLA-E14D-I20L:FOLP_195-ins	>=	4	R	TETM	>	8	R	>=	1	R	neg	NA	NA	NA	<=	2	S	msr(D):MsrD_MLS	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_5#9	0	16	NEW	=	0.12	R	S	=	0.12	S	<=	0.06	S	<=	0.06	S	S	<=	0.5	S	S	<=	0.5	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	neg	=	0.06	S	=	0.06	S	<=	1	S	<=	2	S	neg	FOLA-E14D-I20L:FOLP_169-ins	>=	4	R	neg	<=	0.25	S	<=	0.25	S	neg	NA	NA	NA	<=	2	S	neg	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_5#10	13	NEW	257	=	2	R	S	=	2	S	=	0.5	I	=	1	I	S	=	1	I	S	>	2	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MEF	=	8	R	=	0.06	S	<=	1	S	<=	2	S	neg	FOLA-Q1H-I20L:FOLP_186-ins	>=	4	R	TETM	>	8	R	>=	1	R	neg	NA	NA	NA	<=	2	S	msr(D):MsrD_MLS	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_5#11	0	4	53	<=	0.03	S	S	<=	0.03	S	<=	0.06	S	<=	0.06	S	S	<=	0.5	S	S	<=	0.5	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	neg	=	0.06	S	=	0.06	S	<=	1	S	<=	2	S	neg	neg	=	0.5	S	neg	<=	0.25	S	<=	0.25	S	neg	NA	NA	NA	<=	2	S	neg	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_5#12	2	4	NEW	=	0.12	R	S	=	0.12	S	<=	0.06	S	=	0.12	S	S	<=	0.5	S	S	<=	0.5	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	neg	=	0.06	S	=	0.06	S	<=	1	S	<=	2	S	neg	FOLP_195-ins	=	2	I	TETM	>	8	R	>=	1	R	neg	NA	NA	NA	<=	2	S	neg	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_5#13	2	0	NEW	=	0.06	S	S	<=	0.03	S	<=	0.06	S	<=	0.06	S	S	<=	0.5	S	S	<=	0.5	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	neg	=	0.06	S	=	0.06	S	<=	1	S	<=	2	S	neg	FOLP_169-ins	=	2	I	neg	<=	0.25	S	<=	0.25	S	neg	NA	NA	NA	<=	2	S	neg	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_5#14	NEW	NEW	NEW	=	2	R	S	=	1	S	=	0.5	I	=	2	R	I	=	2	R	I	=	2	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	neg	=	0.06	S	=	0.06	S	<=	1	S	<=	2	S	neg	FOLA-Q1Y-I20L:FOLP_169-ins	>=	4	R	neg	<=	0.25	S	<=	0.25	S	neg	NA	NA	NA	<=	2	S	neg	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_5#15	11	4	NEW	=	0.06	S	S	<=	0.03	S	<=	0.06	S	<=	0.06	S	S	<=	0.5	S	S	<=	0.5	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	neg	=	0.06	S	=	0.06	S	<=	1	S	<=	2	S	neg	FOLP_169-ins	=	2	I	neg	<=	0.25	S	<=	0.25	S	neg	NA	NA	NA	<=	2	S	neg	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_5#16	2	4	2	<=	0.03	S	S	<=	0.03	S	<=	0.06	S	<=	0.06	S	S	<=	0.5	S	S	<=	0.5	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	R23S1-A29G:R23S2-C25T	<=	0.25	S	<=	0.25	S	<=	1	S	<=	2	S	neg	FOLP_169-ins	=	2	I	neg	<=	0.25	S	<=	0.25	S	neg	NA	NA	NA	<=	2	S	neg	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_5#17	0	6	0	<=	0.03	S	S	<=	0.03	S	<=	0.06	S	<=	0.06	S	S	<=	0.5	S	S	<=	0.5	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	neg	=	0.06	S	=	0.06	S	<=	1	S	<=	2	S	neg	FOLP_178-ins	=	2	I	TETM	>	8	R	>=	1	R	neg	NA	NA	NA	<=	2	S	neg	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_5#18	23	4	0	<=	0.03	S	S	<=	0.03	S	<=	0.06	S	<=	0.06	S	S	<=	0.5	S	S	<=	0.5	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	neg	=	0.06	S	=	0.06	S	<=	1	S	<=	2	S	neg	FOLP_178-ins	=	2	I	TETM	>	8	R	>=	1	R	neg	NA	NA	NA	<=	2	S	neg	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_5#19	11	2	0	<=	0.03	S	S	<=	0.03	S	<=	0.06	S	<=	0.06	S	S	<=	0.5	S	S	<=	0.5	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	neg	=	0.06	S	=	0.06	S	<=	1	S	<=	2	S	neg	neg	=	0.5	S	neg	<=	0.25	S	<=	0.25	S	neg	NA	NA	NA	<=	2	S	neg	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_5#20	0	0	NEW	=	0.12	R	S	=	0.06	S	<=	0.06	S	=	0.12	S	S	<=	0.5	S	S	<=	0.5	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	neg	=	0.06	S	=	0.06	S	<=	1	S	<=	2	S	neg	FOLP_174-ins	=	2	I	TETM	>	8	R	>=	1	R	neg	NA	NA	NA	<=	2	S	neg	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_5#21	13	NEW	47	=	2	R	S	=	2	S	=	0.5	I	=	1	I	S	=	1	I	S	>	2	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MEF	=	8	R	=	0.06	S	<=	1	S	<=	2	S	neg	FOLA-Q1H-I20L:FOLP_186-ins	>=	4	R	TETM	>	8	R	>=	1	R	neg	NA	NA	NA	<=	2	S	msr(D):MsrD_MLS	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_5#22	24	27	28	=	0.25	R	S	<=	0.03	S	<=	0.06	S	=	0.12	S	S	<=	0.5	S	S	<=	0.5	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	neg	=	0.06	S	=	0.06	S	<=	1	S	<=	2	S	neg	FOLP_169-ins	=	2	I	TETM	>	8	R	>=	1	R	neg	NA	NA	NA	<=	2	S	neg	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_5#23	2	44	452	=	0.06	S	S	<=	0.03	S	<=	0.06	S	=	0.12	S	S	<=	0.5	S	S	<=	0.5	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	neg	=	0.06	S	=	0.06	S	<=	1	S	<=	2	S	neg	FOLP_169-ins	=	2	I	neg	<=	0.25	S	<=	0.25	S	neg	NA	NA	NA	<=	2	S	neg	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_5#24	13	NEW	NEW	=	2	R	S	=	2	S	=	0.25	S	=	1	I	S	=	1	I	S	>	2	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MEF	=	8	R	=	0.06	S	<=	1	S	<=	2	S	neg	FOLA-Q1H-I20L:FOLP_186-ins	>=	4	R	TETM	>	8	R	>=	1	R	neg	NA	NA	NA	<=	2	S	msr(D):MsrD_MLS	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_6#1	0	18	29	=	0.25	R	S	=	0.12	S	<=	0.06	S	<=	0.06	S	S	<=	0.5	S	S	<=	0.5	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	neg	=	0.06	S	=	0.06	S	<=	1	S	<=	2	S	neg	FOLA-Q1Y-I20L:FOLP_169-ins	>=	4	R	TETM	>	8	R	>=	1	R	neg	NA	NA	NA	<=	2	S	neg	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_6#2	0	4	2	<=	0.03	S	S	<=	0.03	S	<=	0.06	S	<=	0.06	S	S	<=	0.5	S	S	<=	0.5	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	neg	=	0.06	S	=	0.06	S	<=	1	S	<=	2	S	neg	neg	=	0.5	S	neg	<=	0.25	S	<=	0.25	S	neg	NA	NA	NA	<=	2	S	neg	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_6#3	0	0	2	<=	0.03	S	S	<=	0.03	S	<=	0.06	S	<=	0.06	S	S	<=	0.5	S	S	<=	0.5	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ERM	>	32	R	>	2	R	<=	1	S	<=	2	S	pos	FOLP_178-ins	=	2	I	TETM	>	8	R	>=	1	R	neg	NA	NA	NA	<=	2	S	aadC:AadC_AGly	Flag	Flag	Flag	Flag	Flag	Flag	Flag	Flag	Flag	NA	NA	NA
6823_6#4	0	257	407	=	0.12	R	S	=	0.06	S	<=	0.06	S	=	0.12	S	S	<=	0.5	S	S	<=	0.5	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	neg	=	0.06	S	=	0.06	S	<=	1	S	<=	2	S	neg	FOLA-D12C-E14D-I20L:FOLP_169-ins	>=	4	R	TETM	>	8	R	>=	1	R	neg	NA	NA	NA	<=	2	S	neg	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_6#5	2	53	77	=	0.12	R	S	=	0.12	S	<=	0.06	S	<=	0.06	S	S	<=	0.5	S	S	<=	0.5	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ERMB	>	32	R	>	2	R	<=	1	S	<=	2	S	pos	FOLA-I20L:FOLP_189-ins	>=	4	R	TETM	>	8	R	>=	1	R	neg	NA	NA	NA	<=	2	S	neg	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_6#6	2	53	77	=	0.12	R	S	=	0.12	S	<=	0.06	S	<=	0.06	S	S	<=	0.5	S	S	<=	0.5	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ERMB	>	32	R	>	2	R	<=	1	S	<=	2	S	pos	FOLA-I20L:FOLP_176-ins	>=	4	R	TETM	>	8	R	>=	1	R	neg	NA	NA	NA	<=	2	S	neg	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_6#7	2	NEW	2	<=	0.03	S	S	<=	0.03	S	<=	0.06	S	<=	0.06	S	S	<=	0.5	S	S	<=	0.5	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	neg	=	0.06	S	=	0.06	S	<=	1	S	<=	2	S	neg	FOLP_178-ins	=	2	I	TETM	>	8	R	>=	1	R	neg	NA	NA	NA	<=	2	S	neg	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_6#8	2	NEW	2	<=	0.03	S	S	<=	0.03	S	<=	0.06	S	<=	0.06	S	S	<=	0.5	S	S	<=	0.5	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	neg	=	0.06	S	=	0.06	S	<=	1	S	<=	2	S	neg	FOLP_178-ins	=	2	I	TETM	>	8	R	>=	1	R	neg	NA	NA	NA	<=	2	S	neg	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_6#9	37	12	29	=	0.12	R	S	=	0.12	S	<=	0.06	S	<=	0.06	S	S	<=	0.5	S	S	<=	0.5	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	neg	=	0.06	S	=	0.06	S	<=	1	S	<=	2	S	neg	FOLA-Q1Y-I20L:FOLP_178-ins	>=	4	R	TETM	>	8	R	>=	1	R	neg	NA	NA	NA	<=	2	S	neg	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_6#10	NF	NEW	NEW	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	neg	=	0.06	S	=	0.06	S	<=	1	S	<=	2	S	neg	FOLA-E14D-I20L:FOLP_169-ins	>=	4	R	TETM	>	8	R	>=	1	R	neg	NA	NA	NA	<=	2	S	neg	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_6#11	0	6	0	<=	0.03	S	S	<=	0.03	S	<=	0.06	S	<=	0.06	S	S	<=	0.5	S	S	<=	0.5	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	neg	=	0.06	S	=	0.06	S	<=	1	S	<=	2	S	neg	FOLP_178-ins	=	2	I	TETM	>	8	R	>=	1	R	neg	NA	NA	NA	<=	2	S	neg	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_6#12	13	NEW	47	=	2	R	S	=	2	S	=	0.5	I	=	1	I	S	=	1	I	S	>	2	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MEF	=	8	R	=	0.06	S	<=	1	S	<=	2	S	neg	FOLA-Q1H-I20L:FOLP_186-ins	>=	4	R	TETM	>	8	R	>=	1	R	neg	NA	NA	NA	<=	2	S	msr(D):MsrD_MLS	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_6#13	0	0	2	<=	0.03	S	S	<=	0.03	S	<=	0.06	S	<=	0.06	S	S	<=	0.5	S	S	<=	0.5	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	neg	=	0.06	S	=	0.06	S	<=	1	S	<=	2	S	neg	neg	=	0.5	S	TETM	>	8	R	>=	1	R	neg	NA	NA	NA	<=	2	S	neg	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_6#14	13	31	73	=	2	R	S	=	1	S	=	0.25	S	=	1	I	S	=	1	I	S	>	2	R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	MEF	=	8	R	=	0.06	S	<=	1	S	<=	2	S	neg	FOLP_195-ins	=	2	I	TETM	>	8	R	>=	1	R	neg	NA	NA	NA	<=	2	S	msr(D):MsrD_MLS	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_6#15	0	6	0	<=	0.03	S	S	<=	0.03	S	<=	0.06	S	<=	0.06	S	S	<=	0.5	S	S	<=	0.5	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	neg	=	0.06	S	=	0.06	S	<=	1	S	<=	2	S	neg	FOLP_178-ins	=	2	I	TETM	>	8	R	>=	1	R	neg	NA	NA	NA	<=	2	S	neg	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_6#16	2	53	NEW	=	0.12	R	S	=	0.12	S	<=	0.06	S	<=	0.06	S	S	<=	0.5	S	S	<=	0.5	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ERMB	>	32	R	>	2	R	<=	1	S	<=	2	S	pos	FOLA-Q1H-I20L:FOLP_176-ins	>=	4	R	TETM	>	8	R	>=	1	R	neg	NA	NA	NA	<=	2	S	neg	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
6823_6#17	208	0	2	<=	0.03	S	S	<=	0.03	S	<=	0.06	S	<=	0.06	S	S	<=	0.5	S	S	<=	0.5	S	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	neg	=	0.06	S	=	0.06	S	<=	1	S	<=	2	S	neg	FOLP_171-ins	=	2	I	TETM	>	8	R	>=	1	R	neg	NA	NA	NA	<=	2	S	neg	<=	2	S	<=	1	S	=	0.5	S	NA	NA	NA
